Data,Ativo,Operação,Tipo,Código,Qtde,Cotação ação,Strike,Prêmio Un. Inicial,Prêmio Total Bruto,Distância do Strike (%),Exercendo?,Cotação opção,% Lucro Capturado,Custo Recompra Total,Resultado Bruto Real,Valor de Exercício Un.,Valor Exerc. Efetivo Total,DARF,Resultado Líquido,Data encerramento
15/06/2026,PETR4,Venda de Call,Vende,PETRG412,1.500,"37,96","40,11","1,11","1.665,00","-5,36%",Não,"0,17","84,68%","255,00","1.410,00",,"0,00",,,
15/06/2026,CPLE3,Venda de Call,Vende,CPLEG15,9.100,"15,07","15,28","0,23","2.093,00","-1,37%",Não,"0,04","83,20%","351,69","1.741,31",,"0,00",,,
16/06/2026,VALE3,Venda de Put,Compra,VALES816,1.300,"78,24","81,65","1,88","2.444,00","4,18%",Sim,"2,82","-50,00%","3.666,00","-1.222,00","79,77","103.701,00",,,
16/06/2026,BBDC4,Venda de Put,Compra,BBDCS175,2.300,"18,16","17,64","0,38","874,00","-2,95%",Não,"0,06","84,49%","135,52","738,48","17,26","39.698,00",,,
16/06/2026,GGBR4,Venda de Put,Compra,GGBRS235,1.700,"21,15","23,35","0,61","1.037,00","9,42%",Sim,"0,92","-50,00%","1.555,50","-518,50","22,74","38.658,00",,,
16/06/2026,CMIG4,Venda de Call,Vende,CMIGG127,1.300,"10,97","10,99","0,19","247,00","-0,18%",Não,"0,04","80,94%","47,09","199,91",,"0,00",,,
16/06/2026,CPLE3,Venda de Call,Vende,CPLEG15,1.000,"15,07","15,28","0,21","210,00","-1,37%",Não,"0,04","82,47%","36,81","173,19",,"0,00",,,
17/06/2026,ITUB4,Venda de Put,Compra,ITUBS432,500,"42,47","42,93","1,82","910,00","1,07%",Sim,"2,73","-50,00%","1.365,00","-455,00","41,11","20.555,00",,,
22/06/2026,TAEE11,Venda de Put,Compra,TAEES410,600,"40,89","39,64","0,60","360,00","-3,15%",Não,"0,13","78,90%","75,95","284,05","39,04","23.424,00",,,
22/06/2026,PETR4,Venda de Call,Vende,PETRG412,500,"37,96","40,11","0,77","385,00","-5,36%",Não,"0,13","82,83%","66,09","318,91",,"0,00",,,
23/06/2026,TAEE11,Venda de Put,Compra,TAEES410,400,"40,89","39,64","0,50","200,00","-3,15%",Não,"0,11","77,37%","45,25","154,75","39,14","15.656,00",,,
24/06/2026,TAEE11,Venda de Put,Compra,TAEES410,500,"40,89","39,64","0,63","315,00","-3,15%",Não,"0,15","75,58%","76,91","238,09","39,01","19.505,00",,,
24/06/2026,BBDC4,Venda de Put,Compra,BBDCS2,1.000,"18,16","17,39","0,23","230,00","-4,43%",Não,"0,05","78,21%","50,12","179,88","17,16","17.160,00",,,
24/06/2026,PETR4,Venda de Put,Compra,PETRS390,500,"37,96","37,86","0,70","350,00","-0,26%",Não,"0,21","69,63%","106,30","243,70","37,16","18.580,00",,,
24/06/2026,ITUB4,Venda de Put,Compra,ITUBS4,500,"42,47","40,18","0,48","240,00","-5,70%",Não,"0,09","80,83%","46,01","193,99","39,70","19.850,00",,,
25/06/2026,GGBR4,Venda de Put,Compra,GGBRS235,1.000,"21,15","23,35","1,81","1.810,00","9,42%",Sim,"2,72","-50,00%","2.715,00","-905,00","21,54","21.540,00",,,
30/06/2026,PETR4,Venda de Call,Vende,PETRG402,500,"37,96","39,11","0,50","250,00","-2,94%",Não,"0,24","52,65%","118,38","131,62",,"0,00",,,
30/06/2026,PETR4,Venda de Put,Compra,PETRS390,500,"37,96","37,86","0,73","365,00","-0,26%",Não,"0,42","42,14%","211,18","153,82","37,13","18.565,00",,,
01/07/2026,SBSP3,Venda de Put,Compra,SBSPS145,1.000,"29,91","28,90","0,41","410,00","-3,49%",Não,"0,22","47,28%","216,14","193,86","28,49","28.490,00",,,
23/06/2026,TAEE11,Venda de Call,Vende,TAEEG410,400,"40,89","39,64","1,08","432,00","3,15%",Não,"0,98","9,26%","392,00","40,00",,"0,00","6,00","34,00",24/06/2026
22/06/2026,SBSP3,Venda de Put,Compra,SBSPS270,1.500,"29,91","27,00","0,38","570,00","-10,78%",Não,"0,07","81,58%","105,00","465,00","26,62","39.930,00","69,75","395,25",01/07/2026